horizon,mse,rmse,mae,mape,mdape,smape,coverage
2 days 01:00:00,1.8884604412533388,1.374212662310073,1.1214650835016504,0.4065953481595705,0.24512364115166035,0.31945737852748674,0.6672823248196185
2 days 02:00:00,1.8719179590155757,1.3681805286640998,1.114528364252373,0.40014297688533296,0.2433294397775199,0.3165483721230263,0.6698242663007392
2 days 03:00:00,1.8536706789878332,1.3614957506315741,1.1057972120003319,0.39290321691249214,0.23989242817944867,0.3126817032320955,0.673673144172458
2 days 04:00:00,1.8384086829340192,1.3558793024948863,1.0976690967004163,0.3859091350372098,0.23656918987096687,0.30884162522165953,0.6762139790181931
2 days 05:00:00,1.8249813421145766,1.3509187029997685,1.089561024891379,0.3793193893734447,0.23337417410957118,0.30502490505200325,0.6789728210349254
2 days 06:00:00,1.816429925402885,1.3477499491385208,1.084188410424769,0.373496130843722,0.22928409805056793,0.3018816540080981,0.6822019830906113
2 days 07:00:00,1.821593137667672,1.3496640832694897,1.0835788644763895,0.37018782074186757,0.22604902501839647,0.30025595473091315,0.6826368907972201
2 days 08:00:00,1.83495977001706,1.3546068691753559,1.085088304446771,0.369650704151201,0.22318579434226768,0.2997371176988627,0.6816553052100394
2 days 09:00:00,1.8469344792220792,1.3590196758038786,1.0868249942934338,0.3695983632266814,0.22126691980837576,0.2994852119313259,0.6801325749192156
2 days 10:00:00,1.8603711807649583,1.363954244381005,1.0892430037047784,0.37021831424355406,0.21925089602751738,0.2995582823526908,0.678028861050861
2 days 11:00:00,1.8732115391348654,1.3686531843878,1.0922008862544559,0.37061784623857036,0.21774797489738423,0.29986472844666523,0.6776658846443274
2 days 12:00:00,1.8830779235165727,1.3722528642770517,1.0940157611567853,0.37127880846961175,0.21722023463327528,0.29992566633770534,0.6761398344473464
2 days 13:00:00,1.891393626744493,1.3752794722326416,1.09662308231678,0.3724612540893019,0.21601535101038527,0.30039946828934233,0.673673144172458
2 days 14:00:00,1.8897614084647623,1.374685930845574,1.0970901593934292,0.3711728796815027,0.21501144894222152,0.2998160861356317,0.6725476959851269
2 days 15:00:00,1.8909315729298857,1.3751114765464965,1.0982433979576098,0.3705466033483996,0.2158272454911051,0.2995564635259096,0.671713292904254
2 days 16:00:00,1.8913806880024933,1.375274768183614,1.0997712224356238,0.3704800491495697,0.2170473769019988,0.29962878281727434,0.6714211411624098
2 days 17:00:00,1.9077826293788354,1.381225046608566,1.1058461408535007,0.3745687152059402,0.21938426758574087,0.3017902067247486,0.6682605905006419
2 days 18:00:00,1.9327558689265074,1.3902359040560373,1.114358161739637,0.38079376983049323,0.22195969625219109,0.30515328723182966,0.66408525519012
2 days 19:00:00,1.9538345748641968,1.3977963281051344,1.123664868522427,0.3866275711788449,0.22545391547756302,0.3089767436535212,0.6594750121729892
2 days 20:00:00,1.9719583441943442,1.4042643427055834,1.1323739020719885,0.39195898768170884,0.22942291843050244,0.31277259409885616,0.6557390111106193
2 days 21:00:00,1.987503032686163,1.4097882935696986,1.1401306381617644,0.3964340127127085,0.23357950854698115,0.3162209949500207,0.6538876101102209
2 days 22:00:00,2.0053337245182834,1.416098063171574,1.1482877032584844,0.4019964111037867,0.23694881848541288,0.3199549719312247,0.6514187065645611
2 days 23:00:00,2.019450902989376,1.4210738555716858,1.1545802974179187,0.4060801911229925,0.24047576145446742,0.32290823054737117,0.6472466911601966
3 days 00:00:00,2.0192113762258534,1.420989576395919,1.155735916795535,0.40703769296949555,0.2422651469629659,0.32392247378722966,0.6463038378115178
3 days 01:00:00,2.00823628277323,1.4171225362590314,1.1521925061228133,0.4038099102938942,0.24153048340405564,0.32261644409724355,0.6477192244699216
3 days 02:00:00,1.9941688997218348,1.4121504522259074,1.1462433875469018,0.3989800180660499,0.23926138142264025,0.3200586485219066,0.6513877207737594
3 days 03:00:00,1.9771259351989912,1.4061031026204982,1.1387213179575366,0.39312444240327804,0.23846986347099997,0.31672592187591764,0.6552343853747068
3 days 04:00:00,1.9575955062875119,1.399140988709684,1.1300861611276525,0.3865703152166142,0.23494093370194508,0.3128136187314069,0.6586837678721614
3 days 05:00:00,1.9418795659878012,1.3935133892387979,1.1233889835817883,0.38014970554033306,0.23309085637240418,0.30932644657448405,0.6632574919215617
3 days 06:00:00,1.9371398362631507,1.391811710061081,1.119477820286113,0.37646475225307235,0.2313462646440188,0.306874682746249,0.6664512416449028
3 days 07:00:00,1.936986974145239,1.391756794179658,1.1165518372496062,0.37347574056270294,0.2277391961316996,0.3048950760464477,0.6685560621486433
3 days 08:00:00,1.9458221118650227,1.3949272783428615,1.1166574580296256,0.3718771095193846,0.22567779291296575,0.3038280137195013,0.6702613872781196
3 days 09:00:00,1.9558799022729747,1.3985277624248202,1.1181663533978032,0.37119432832154187,0.22420188441506556,0.3033983827168384,0.6706985082554999
3 days 10:00:00,1.9658027452842672,1.402070877411077,1.120176242489665,0.37158021285681275,0.22459364249556873,0.30343200817214966,0.6710603780266479
3 days 11:00:00,1.974141073175105,1.4050413065725524,1.122949870836846,0.372543581013016,0.2237788485668979,0.30401984931405435,0.6722577575140543
3 days 12:00:00,1.9859080410765335,1.4092224952350616,1.1262386764612045,0.3741403560131751,0.22448753454832382,0.30488854855781267,0.672293169846399
3 days 13:00:00,2.0001988338813277,1.4142838590188773,1.1305788073992862,0.3765111512144569,0.22493781484246234,0.3060710273334577,0.6724381390819353
3 days 14:00:00,2.0087004508971886,1.4172862981406362,1.1337903333141017,0.3778054907412124,0.22530155438774627,0.30679970881662916,0.6734186180337303
3 days 15:00:00,2.011790442699142,1.4183759877758584,1.1352684883264612,0.37770015299646464,0.2272895480924666,0.3068176268968154,0.6748362179629056
3 days 16:00:00,2.0232180520091556,1.4223986965718,1.1386424308715168,0.3800062830060164,0.22773325081655327,0.3077883935733302,0.6752335000663982
3 days 17:00:00,2.0422685361549666,1.4290796115524729,1.1447990719018488,0.3836170769674233,0.22995843085335088,0.3099889743334493,0.6726904519498915
3 days 18:00:00,2.0692398036141455,1.438485246227484,1.1547759104261444,0.3904895862573651,0.23273175016780728,0.3142251575117154,0.6677515382231862
3 days 19:00:00,2.0957468773740384,1.4476694641298609,1.1659190824877412,0.3982205212726071,0.23569553884231692,0.3192299249382773,0.6616550838829622
3 days 20:00:00,2.124629615867698,1.457610927465796,1.1771721813690597,0.40647543585303114,0.23978101137231878,0.3243986445887396,0.6587512726306936
3 days 21:00:00,2.1533771926555305,1.4674389911187213,1.1879387494304505,0.4143354145536858,0.24424933886811506,0.3294719265129365,0.6552299588331637
3 days 22:00:00,2.181275002069068,1.4769140130925253,1.1980876606371829,0.42226553982789106,0.24951985685892125,0.33447132324840895,0.6502589526802709
3 days 23:00:00,2.2030286479999845,1.4842603033160944,1.2056216716873862,0.4292415056444622,0.25332276480689875,0.33860182948570067,0.6484086583152583
4 days 00:00:00,2.2209704158765056,1.4902920572412999,1.2110577704790917,0.4335625259623534,0.2552011997990412,0.34133377131848863,0.6485901465185251
4 days 01:00:00,2.226808595758014,1.492249508546749,1.2119639713016053,0.43429835341632206,0.25584681624336536,0.34202151790315816,0.6484462839183746
4 days 02:00:00,2.2195676994685094,1.4898213649523588,1.2078328183753073,0.4311320373869615,0.2554091420520657,0.3403935639743777,0.6513512018060289
4 days 03:00:00,2.20653939247439,1.4854424904634949,1.20159980126455,0.4262324955397819,0.2529842705546215,0.3377114055887392,0.655559736178124
4 days 04:00:00,2.197110674946708,1.4822653861393067,1.195327555591483,0.4220734370683914,0.24916168200186584,0.3350026327187862,0.6582466468947811
4 days 05:00:00,2.1949745865775303,1.4815446623634168,1.1901417246875399,0.4192514395702204,0.24648608304929795,0.33263092591411964,0.6600969412597937
4 days 06:00:00,2.195267050230495,1.4816433613493145,1.1855310770903174,0.4162039753726389,0.24314401092680138,0.33036490552065373,0.6611847638440087
4 days 07:00:00,2.195574257047615,1.4817470286953893,1.1817555469595507,0.4131184910046539,0.2403866163151458,0.3283887473460439,0.6615842592182728
4 days 08:00:00,2.1997189314854273,1.4831449462157862,1.1789525776331973,0.4114080140852695,0.23700991639267702,0.3269073884764151,0.6632563852861759
4 days 09:00:00,2.2043618787709574,1.4847093583496258,1.177369952369162,0.41040647462035423,0.23482089767329228,0.32595920672197715,0.664782435483157
4 days 10:00:00,2.2049575890085404,1.4849099598994346,1.175349964105946,0.40973581132914483,0.23495766108670654,0.325158036794491,0.6668883626222832
4 days 11:00:00,2.2032314702706333,1.484328626103611,1.1730493531709945,0.40918716163971974,0.23413038525247293,0.3244554054087877,0.6686667256872206
4 days 12:00:00,2.207227127184085,1.485673963958474,1.1728479979211817,0.409655655272024,0.23360575001167017,0.32454602063976484,0.6682284980744544
4 days 13:00:00,2.2039103108056755,1.48455727771133,1.1713358223882533,0.40907291413817687,0.2328647225036735,0.32425755248084087,0.6676121021645789
4 days 14:00:00,2.1966902642116364,1.4821235657702891,1.168486913370938,0.4074077899638594,0.23153087901205646,0.3234048181562654,0.6677227657031561
4 days 15:00:00,2.1854147323852273,1.4783148285751677,1.1649013921504652,0.40441255195355486,0.23111308470632277,0.32197897477355997,0.6702613872781196
4 days 16:00:00,2.1714102640065063,1.4735705833133703,1.1624624025985537,0.3998092115918114,0.23140722615166637,0.3206749780567773,0.6697877473330087
4 days 17:00:00,2.160728815104152,1.4699417726917456,1.1618948327745584,0.3976115562113196,0.23363048038790712,0.3206485574773121,0.6688083750165995
4 days 18:00:00,2.164391326506187,1.4711870467436108,1.164784072784911,0.40024843819402894,0.23548110316366344,0.3225874523511277,0.6671362489486964
4 days 19:00:00,2.183325169746998,1.4776079215228233,1.1715814341422377,0.40620573672171156,0.2385094355321282,0.3263371053795666,0.664231331061042
4 days 20:00:00,2.2038774578597784,1.4845462127733775,1.1779122996753235,0.4104902832246615,0.24346622597931253,0.32958908723086283,0.6610375813377009
4 days 21:00:00,2.228352333855759,1.4927666709354679,1.185964539078007,0.41709603725365396,0.24812747392562903,0.3338599013716673,0.6576634500464786
4 days 22:00:00,2.242120289466655,1.4973711261630014,1.1922721673043581,0.42246626969804296,0.2516921931986964,0.3376197110665561,0.6556670798105441
4 days 23:00:00,2.250063936611425,1.500021312052407,1.1965174565115806,0.4257157660085373,0.2525343479252904,0.3402715175660825,0.6533077331680758
5 days 00:00:00,2.2555961252572856,1.5018642166511877,1.1985846312518418,0.4264118823629449,0.2535141512303302,0.34157789639993824,0.652072728077553
5 days 01:00:00,2.245354143926442,1.498450581075813,1.1957357117940812,0.4219244289772224,0.2556919803622949,0.34047042873858296,0.6506595546899208
5 days 02:00:00,2.2269859087707853,1.4923089186796363,1.18853704331637,0.415221863037273,0.2527209092930759,0.33754298295597257,0.6536729228453809
5 days 03:00:00,2.2105443646783183,1.4867899531131887,1.1802860844461198,0.4077158132525216,0.25038523342351127,0.3337449671474971,0.6574487627816388
5 days 04:00:00,2.199406664075335,1.4830396704320943,1.1726764943964518,0.4005801225972896,0.2474889989101926,0.3299441681834191,0.6604997565402152
5 days 05:00:00,2.1918184108562966,1.4804791153056827,1.1655005507203837,0.39422784164691727,0.24484423796768273,0.3262508618114979,0.6643818334735071
5 days 06:00:00,2.1871540266850995,1.478902980822305,1.1607709083092386,0.3881400758935669,0.24117442830943547,0.3231880998926609,0.6671041565225089
5 days 07:00:00,2.1953865166769213,1.4816836763212724,1.159813281572586,0.3845339095420819,0.23811292544298512,0.3213803564459763,0.6682273914390686
5 days 08:00:00,2.2130246676345773,1.4876238327058953,1.160855202026719,0.38387787725263356,0.23561557683146284,0.320638415947233,0.6664866539772476
5 days 09:00:00,2.2320708757665426,1.494011671897694,1.1622390816822634,0.38406880396829934,0.23405621117288222,0.320174601001086,0.6660141206675224
5 days 10:00:00,2.25336612880387,1.5011216235881322,1.1650841576706563,0.38503750140609955,0.23294560019472177,0.3202764746636825,0.6639823380992431
5 days 11:00:00,2.2705744050949144,1.5068425283004572,1.16879009568631,0.3852632649759381,0.23259915165881362,0.3207395324852702,0.66169492275685
5 days 12:00:00,2.283622817897597,1.5111660457731297,1.1717116500664915,0.3857453247865575,0.23240738739246547,0.3210758702011232,0.6585365853658537
5 days 13:00:00,2.294065253996145,1.5146171971809064,1.1749144329772607,0.38691100187049493,0.23065252503374625,0.32172091441545686,0.65505289717144
5 days 14:00:00,2.2981453774787313,1.5159635145605357,1.1758010871214208,0.3855339234759024,0.2287396319515918,0.32110484709440534,0.6529834890000443
5 days 15:00:00,2.308778126810586,1.5194663954199796,1.178160568849845,0.385021626625363,0.22905048050892962,0.3210762624960221,0.6505156920897703
